article,category,summary
Solving probability puzzles with logic toolkit,Artificial Intelligence,proposed approach formalise probabilistic puzzle equational fol two formalisations are needed one theory all models given puzzle second theory favorable models then mace computes all interpretation models fol theory called twice first it asked compute all possible models second additional constraint added mace computes only favourabile models finally definition probability applied number favorable models divided number possible models proposed approach equips students logic tribe find correct solution puzzles probabilitistic tribe using their favourite instruments modelling formalisation have exemplified here five probabilistic puzzles how they can be solved translating min fol then find corresponding interpretation models mace was tool choice here ongoing work investigating limits method various collections probabilistic puzzles
"The path inference filter: model-based low-latency map matching of probe
  vehicle data",Artificial Intelligence,we consider problem reconstructing vehicle trajectories sparse sequences gps points which sampling interval between seconds minutes we introduce new class algorithms called altogether path inference filter pif maps gps data real time variety tradeoffs scenarios high throughput numerous prior approaches mapmatching can be shown be special cases path inference filter presented article we present efficient procedure automatically training filter new data without ground truth observations framework evaluated large san francisco taxi dataset shown improve upon current state art filter also provides insights about driving patterns drivers path inference filter has been deployed industrial scale inside mobile millennium traffic information system used map fleets data san francisco sacramento stockholm porto
"Hybrid Probabilistic Inference with Logical Constraints: Tractability
  and Message Passing",Artificial Intelligence,weighted model integration wmi very appealing framework probabilistic inference it allows express complex dependencies realworld hybrid scenarios where variables are heterogeneous nature both continuous discrete via language satisfiability modulo theories smt well computing probabilistic queries arbitrarily complex logical constraints recent work has shown wmi inference be reducible model integration mi problem under some assumptions thus effectively allowing hybrid probabilistic reasoning volume computations paper we introduce novel formulation mi via message passing scheme allows efficiently compute marginal densities statistical moments all variables linear time such we are able amortize inference arbitrarily rich mi queries when they conform problem structure here represented primal graph associated smt formula furthermore we theoretically trace tractability boundaries exact mi indeed we prove terms structural requirements primal graph make our mi algorithm tractable bounding its diameter treewidth bounds are not only sufficient but necessary tractable inference via mi
"Medical Knowledge Embedding Based on Recursive Neural Network for
  Multi-Disease Diagnosis",Artificial Intelligence,representation knowledge based firstorder logic captures richness natural language supports multiple probabilistic inference models although symbolic representation enables quantitative reasoning statistical probability it difficult utilize machine learning models they perform numerical operations contrast knowledge embedding ie highdimensional continuous vectors feasible approach complex reasoning can not only retain semantic information knowledge but also establish quantifiable relationship among them paper we propose recursive neural knowledge network rnkn which combines medical knowledge based firstorder logic recursive neural network multidisease diagnosis after rnkn efficiently trained manually annotated chinese electronic medical records cemrs diagnosisoriented knowledge embeddings weight matrixes are learned experimental results verify diagnostic accuracy rnkn superior some classical machine learning models markov logic network mln results also demonstrate more explicit evidence extracted cemrs better performance achieved rnkn gradually exhibits interpretation knowledge embeddings number training epochs increases
"Self Generated Wargame AI: Double Layer Agent Task Planning Based on
  Large Language Model",Artificial Intelligence,large language models represented chatgpt have disruptive impact field artificial intelligence but it mainly focuses natural language processing speech recognition machine learning natural language understanding paper innovatively applies large language model field intelligent decisionmaking places large language model decisionmaking center constructs agent architecture large language model core based it further proposes twolayer agent task planning issues executes decision commands through interaction natural language carries out simulation verification through wargame simulation environment through game confrontation simulation experiment it found intelligent decisionmaking ability large language model significantly stronger than commonly used reinforcement learning ai rule ai intelligence understandability generalization are all better through experiments it was found intelligence large language model closely related prompt work also extends large language model previous humancomputer interaction field intelligent decisionmaking which has important reference value significance development intelligent decisionmaking
Training dynamically balanced excitatory-inhibitory networks,Disordered Systems and Neural Networks,construction biologically plausible models neural circuits crucial understanding computational properties nervous system constructing functional networks composed separate excitatory inhibitory neurons obeying dales law presents number challenges we show how targetbased approach when combined fast online constrained optimization technique capable building functional models rate spiking recurrent neural networks which excitation inhibition are balanced balanced networks can be trained produce complicated temporal patterns solve inputoutput tasks while retaining biologically desirable features such dales law response variability
"Exploring Structural Nonlinearity in Binary Polariton-Based Neuromorphic
  Architectures",Disordered Systems and Neural Networks,study investigates performance binarized neuromorphic network leveraging polariton dyads optically excited pairs interfering polariton condensates within microcavity function binary logic gate neurons employing numerical simulations we explore various neuron configurations both linear nand nor nonlinear xnor assess their effectiveness image classification tasks we demonstrate structural nonlinearity derived networks layout plays crucial role facilitating complex computational tasks effectively reducing reliance inherent nonlinearity individual neurons our findings suggest networks configuration interaction among its elements can emulate benefits nonlinearity thus potentially simplifying design manufacturing neuromorphic systems enhancing their scalability shift focus individual neuron properties network architecture could lead significant advancements efficiency applicability neuromorphic computing
Deep learning systems as complex networks,Disordered Systems and Neural Networks,thanks availability large scale digital datasets massive amounts computational power deep learning algorithms can learn representations data exploiting multiple levels abstraction these machine learning methods have greatly improved stateoftheart many challenging cognitive tasks such visual object recognition speech processing natural language understanding automatic translation particular one class deep learning models known deep belief networks can discover intricate statistical structure large data sets completely unsupervised fashion learning generative model data using hebbianlike learning mechanisms although these selforganizing systems can be conveniently formalized within framework statistical mechanics their internal functioning remains opaque because their emergent dynamics cannot be solved analytically article we propose study deep belief networks using techniques commonly employed study complex networks order gain some insights into structural functional properties computational graph resulting learning process
"Dense Hebbian neural networks: a replica symmetric picture of supervised
  learning",Disordered Systems and Neural Networks,we consider dense associative neuralnetworks trained teacher ie supervision we investigate their computational capabilities analytically via statisticalmechanics spin glasses numerically via monte carlo simulations particular we obtain phase diagram summarizing their performance function control parameters such quality quantity training dataset network storage noise valid limit large network size structureless datasets these networks may work ultrastorage regime where they can handle huge amount patterns if compared shallow neural networks ultradetection regime where they can perform pattern recognition prohibitive signaltonoise ratios if compared shallow neural networks guided random theory reference framework we also test numerically learning storing retrieval capabilities shown these networks structured datasets mnist fashion mnist technical remarks analytic side we implement large deviations stability analysis within guerras interpolation tackle notgaussian distributions involved postsynaptic potentials while computational counterpart we insert plefka approximation monte carlo scheme speed up evaluation synaptic tensors overall obtaining novel broad approach investigate supervised learning neural networks beyond shallow limit general
"Pattern recognition in the nucleation kinetics of non-equilibrium
  self-assembly",Disordered Systems and Neural Networks,inspired biologys most sophisticated computer brain neural networks constitute profound reformulation computational principles remarkably analogous highdimensional highlyinterconnected computational architectures also arise within informationprocessing molecular systems inside living cells such signal transduction cascades genetic regulatory networks might neuromorphic collective modes be found more broadly other physical chemical processes even those ostensibly play noninformationprocessing roles such protein synthesis metabolism structural selfassembly here we examine nucleation during selfassembly multicomponent structures showing highdimensional patterns concentrations can be discriminated classified manner similar neural network computation specifically we design set dna tiles can selfassemble three alternative ways such competitive nucleation depends sensitively extent colocalization highconcentration tiles within three structures system was trained insilico classify set grayscale pixel images into three categories experimentally fluorescence atomic force microscopy monitoring during after hour anneal established all trained images were correctly classified while test set image variations probed robustness results while slow compared prior biochemical neural networks our approach surprisingly compact robust scalable success suggests ubiquitous physical phenomena such nucleation may hold powerful information processing capabilities when scaled up highdimensional multicomponent systems
