text,summary,Generated Summaries,bert_precision,bert_recall,bert_f1
"Ad sales boost Time Warner profit

Quarterly profits at US media giant TimeWarner jumped 76% to $1.13bn (£600m) for the three months to December, from $639m year-earlier.

The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales. TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn. Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

Time Warner said on Friday that it now owns 8% of search-engine Google. But its own internet business, AOL, had has mixed fortunes. It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters. However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues. It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband. TimeWarner also has to restate 2000 and 2003 results following a probe by the US Securities Exchange Commission (SEC), which is close to concluding.

Time Warner's fourth quarter profits were slightly better than analysts' expectations. But its film division saw profits slump 27% to $284m, helped by box-office flops Alexander and Catwoman, a sharp contrast to year-earlier, when the third and final film in the Lord of the Rings trilogy boosted results. For the full-year, TimeWarner posted a profit of $3.36bn, up 27% from its 2003 performance, while revenues grew 6.4% to $42.09bn. ""Our financial performance was strong, meeting or exceeding all of our full-year objectives and greatly enhancing our flexibility,"" chairman and chief executive Richard Parsons said. For 2005, TimeWarner is projecting operating earnings growth of around 5%, and also expects higher revenue and wider profit margins.

TimeWarner is to restate its accounts as part of efforts to resolve an inquiry into AOL by US market regulators. It has already offered to pay $300m to settle charges, in a deal that is under review by the SEC. The company said it was unable to estimate the amount it needed to set aside for legal reserves, which it previously set at $500m. It intends to adjust the way it accounts for a deal with German music publisher Bertelsmann's purchase of a stake in AOL Europe, which it had reported as advertising revenue. It will now book the sale of its stake in AOL Europe as a loss on the value of that stake.
","TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.For the full-year, TimeWarner posted a profit of $3.36bn, up 27% from its 2003 performance, while revenues grew 6.4% to $42.09bn.Quarterly profits at US media giant TimeWarner jumped 76% to $1.13bn (£600m) for the three months to December, from $639m year-earlier.However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.For 2005, TimeWarner is projecting operating earnings growth of around 5%, and also expects higher revenue and wider profit margins.It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.Time Warner's fourth quarter profits were slightly better than analysts' expectations.","Key Points:

1. Time Warner's quarterly profits jumped 76% to $1.13bn, driven by high-speed internet sales and ad revenue [1].
2. AOL's underlying profit rose 8%, despite losing 464,000 subscribers in the fourth quarter [1].
3. Time Warner owns 8% of Google and projects operating earnings growth of around 5% for 2005 [1].


Time Warner reported a significant increase in quarterly profits, rising 76% to $1.13bn, driven by strong sales of high-speed internet connections and higher ad revenue [1]. The company's film division saw profits slump 27%, due in part to box-office flops Alexander and Catwoman [1]. AOL's underlying profit rose 8%, despite losing subscribers, as the company hopes to increase subscriptions by offering free online services to Time Warner customers [1]. Time Warner also owns 8% of Google and projects operating earnings growth of around 5% for 2005 [1]. The company will restate its accounts due to an inquiry into AOL by US market regulators, which may result in a $300m settlement [1].",0.8507672548294067,0.8653849363327026,0.8580138087272644
"Dollar gains on Greenspan speech

The dollar has hit its highest level against the euro in almost three months after the Federal Reserve head said the US trade deficit is set to stabilise.

And Alan Greenspan highlighted the US government's willingness to curb spending and rising household savings as factors which may help to reduce it. In late trading in New York, the dollar reached $1.2871 against the euro, from $1.2974 on Thursday. Market concerns about the deficit has hit the greenback in recent months. On Friday, Federal Reserve chairman Mr Greenspan's speech in London ahead of the meeting of G7 finance ministers sent the dollar higher after it had earlier tumbled on the back of worse-than-expected US jobs data. ""I think the chairman's taking a much more sanguine view on the current account deficit than he's taken for some time,"" said Robert Sinche, head of currency strategy at Bank of America in New York. ""He's taking a longer-term view, laying out a set of conditions under which the current account deficit can improve this year and next.""

Worries about the deficit concerns about China do, however, remain. China's currency remains pegged to the dollar and the US currency's sharp falls in recent months have therefore made Chinese export prices highly competitive. But calls for a shift in Beijing's policy have fallen on deaf ears, despite recent comments in a major Chinese newspaper that the ""time is ripe"" for a loosening of the peg. The G7 meeting is thought unlikely to produce any meaningful movement in Chinese policy. In the meantime, the US Federal Reserve's decision on 2 February to boost interest rates by a quarter of a point - the sixth such move in as many months - has opened up a differential with European rates. The half-point window, some believe, could be enough to keep US assets looking more attractive, and could help prop up the dollar. The recent falls have partly been the result of big budget deficits, as well as the US's yawning current account gap, both of which need to be funded by the buying of US bonds and assets by foreign firms and governments. The White House will announce its budget on Monday, and many commentators believe the deficit will remain at close to half a trillion dollars.
","The dollar has hit its highest level against the euro in almost three months after the Federal Reserve head said the US trade deficit is set to stabilise.China's currency remains pegged to the dollar and the US currency's sharp falls in recent months have therefore made Chinese export prices highly competitive.Market concerns about the deficit has hit the greenback in recent months.""I think the chairman's taking a much more sanguine view on the current account deficit than he's taken for some time,"" said Robert Sinche, head of currency strategy at Bank of America in New York.The recent falls have partly been the result of big budget deficits, as well as the US's yawning current account gap, both of which need to be funded by the buying of US bonds and assets by foreign firms and governments.""He's taking a longer-term view, laying out a set of conditions under which the current account deficit can improve this year and next.""","Key Points:

1. Dollar reaches its highest level against the euro in almost three months after Alan Greenspan's speech [1].
2. Federal Reserve head highlights US government's willingness to curb spending and rising household savings to reduce trade deficit [1].
3. Market concerns about the US trade deficit remain, despite recent interest rate hike by the Federal Reserve [1].


The dollar has reached its highest level against the euro in almost three months following a speech by Alan Greenspan, the head of the Federal Reserve. In his address, Greenspan emphasized the US government's efforts to curb spending and rising household savings as factors that may help reduce the trade deficit [1]. This shift in perspective is seen as a positive development for the dollar, which had been hit hard by market concerns about the deficit [1]. However, worries about the deficit remain, particularly with regards to China's currency policy, which remains pegged to the dollar [1]. The recent interest rate hike by the Federal Reserve has also opened up a differential with European rates, making US assets more attractive and potentially helping to prop up the dollar [1].",0.8484727144241333,0.854130208492279,0.851292073726654
"Yukos unit buyer faces loan claim

The owners of embattled Russian oil giant Yukos are to ask the buyer of its former production unit to pay back a $900m (£479m) loan.

State-owned Rosneft bought the Yugansk unit for $9.3bn in a sale forced by Russia to part settle a $27.5bn tax claim against Yukos. Yukos' owner Menatep Group says it will ask Rosneft to repay a loan that Yugansk had secured on its assets. Rosneft already faces a similar $540m repayment demand from foreign banks. Legal experts said Rosneft's purchase of Yugansk would include such obligations. ""The pledged assets are with Rosneft, so it will have to pay real money to the creditors to avoid seizure of Yugansk assets,"" said Moscow-based US lawyer Jamie Firestone, who is not connected to the case. Menatep Group's managing director Tim Osborne told the Reuters news agency: ""If they default, we will fight them where the rule of law exists under the international arbitration clauses of the credit.""

Rosneft officials were unavailable for comment. But the company has said it intends to take action against Menatep to recover some of the tax claims and debts owed by Yugansk. Yukos had filed for bankruptcy protection in a US court in an attempt to prevent the forced sale of its main production arm. The sale went ahead in December and Yugansk was sold to a little-known shell company which in turn was bought by Rosneft. Yukos claims its downfall was punishment for the political ambitions of its founder Mikhail Khodorkovsky and has vowed to sue any participant in the sale.
","Yukos' owner Menatep Group says it will ask Rosneft to repay a loan that Yugansk had secured on its assets.State-owned Rosneft bought the Yugansk unit for $9.3bn in a sale forced by Russia to part settle a $27.5bn tax claim against Yukos.The sale went ahead in December and Yugansk was sold to a little-known shell company which in turn was bought by Rosneft.But the company has said it intends to take action against Menatep to recover some of the tax claims and debts owed by Yugansk.""The pledged assets are with Rosneft, so it will have to pay real money to the creditors to avoid seizure of Yugansk assets,"" said Moscow-based US lawyer Jamie Firestone, who is not connected to the case.","Key Points:

1. Rosneft, the buyer of Yukos' former production unit Yugansk, faces a $900m loan claim from Menatep Group [1].
2. The loan was secured by Yugansk's assets, which are now with Rosneft [1].
3. Rosneft already faces a similar repayment demand of $540m from foreign banks [1].


The owners of Yukos, Menatep Group, plan to ask Rosneft, the buyer of its former production unit Yugansk, to repay a $900m loan that was secured by Yugansk's assets. This move comes after Rosneft purchased Yugansk for $9.3bn in a sale forced by Russia to part settle a $27.5bn tax claim against Yukos [1]. Legal experts have stated that the purchase of Yugansk would include such obligations, and if Rosneft defaults on the loan, Menatep Group will take action under international arbitration clauses [1]. This development is part of the ongoing dispute between Yukos and its creditors, with Yukos claiming its downfall was punishment for the political ambitions of its founder Mikhail Khodorkovsky.",0.8664652109146118,0.884982168674469,0.875625729560852
"High fuel prices hit BA's profits

British Airways has blamed high fuel prices for a 40% drop in profits.

Reporting its results for the three months to 31 December 2004, the airline made a pre-tax profit of £75m ($141m) compared with £125m a year earlier. Rod Eddington, BA's chief executive, said the results were ""respectable"" in a third quarter when fuel costs rose by £106m or 47.3%. BA's profits were still better than market expectation of £59m, and it expects a rise in full-year revenues.

To help offset the increased price of aviation fuel, BA last year introduced a fuel surcharge for passengers.

In October, it increased this from £6 to £10 one-way for all long-haul flights, while the short-haul surcharge was raised from £2.50 to £4 a leg. Yet aviation analyst Mike Powell of Dresdner Kleinwort Wasserstein says BA's estimated annual surcharge revenues - £160m - will still be way short of its additional fuel costs - a predicted extra £250m. Turnover for the quarter was up 4.3% to £1.97bn, further benefiting from a rise in cargo revenue. Looking ahead to its full year results to March 2005, BA warned that yields - average revenues per passenger - were expected to decline as it continues to lower prices in the face of competition from low-cost carriers. However, it said sales would be better than previously forecast. ""For the year to March 2005, the total revenue outlook is slightly better than previous guidance with a 3% to 3.5% improvement anticipated,"" BA chairman Martin Broughton said. BA had previously forecast a 2% to 3% rise in full-year revenue.

It also reported on Friday that passenger numbers rose 8.1% in January. Aviation analyst Nick Van den Brul of BNP Paribas described BA's latest quarterly results as ""pretty modest"". ""It is quite good on the revenue side and it shows the impact of fuel surcharges and a positive cargo development, however, operating margins down and cost impact of fuel are very strong,"" he said. Since the 11 September 2001 attacks in the United States, BA has cut 13,000 jobs as part of a major cost-cutting drive. ""Our focus remains on reducing controllable costs and debt whilst continuing to invest in our products,"" Mr Eddington said. ""For example, we have taken delivery of six Airbus A321 aircraft and next month we will start further improvements to our Club World flat beds."" BA's shares closed up four pence at 274.5 pence.
","Rod Eddington, BA's chief executive, said the results were ""respectable"" in a third quarter when fuel costs rose by £106m or 47.3%.To help offset the increased price of aviation fuel, BA last year introduced a fuel surcharge for passengers.BA had previously forecast a 2% to 3% rise in full-year revenue.""It is quite good on the revenue side and it shows the impact of fuel surcharges and a positive cargo development, however, operating margins down and cost impact of fuel are very strong,"" he said.Yet aviation analyst Mike Powell of Dresdner Kleinwort Wasserstein says BA's estimated annual surcharge revenues - £160m - will still be way short of its additional fuel costs - a predicted extra £250m.""For the year to March 2005, the total revenue outlook is slightly better than previous guidance with a 3% to 3.5% improvement anticipated,"" BA chairman Martin Broughton said.Looking ahead to its full year results to March 2005, BA warned that yields - average revenues per passenger - were expected to decline as it continues to lower prices in the face of competition from low-cost carriers.BA's profits were still better than market expectation of £59m, and it expects a rise in full-year revenues.","Key Points:

1. British Airways' profits dropped 40% due to high fuel prices, making a pre-tax profit of £75m [1].
2. BA introduced a fuel surcharge for passengers, increasing from £6 to £10 one-way for long-haul flights.
3. The airline expects a rise in full-year revenues with a 3% to 3.5% improvement anticipated.


British Airways reported a 40% drop in profits due to high fuel prices, making a pre-tax profit of £75m [1]. This decline was attributed to the significant increase in fuel costs, which rose by £106m or 47.3% [Context 1 [1]]. To mitigate this impact, BA introduced a fuel surcharge for passengers, increasing from £6 to £10 one-way for long-haul flights [Context 1 [1]]. Despite these challenges, the airline's turnover for the quarter was up 4.3% to £1.97bn, with cargo revenue contributing to this growth [Context 1 [1]]. BA also reported an 8.1% increase in passenger numbers in January and expects a rise in full-year revenues, with a 3% to 3.5% improvement anticipated [Context 1 [1]]. The airline's chairman, Martin Broughton, stated that the total revenue outlook is slightly better than previous guidance, with sales expected to be higher than forecast [Context 1 [1]].",0.8541274070739746,0.8643149137496948,0.8591909408569336
"Pernod takeover talk lifts Domecq

Shares in UK drinks and food firm Allied Domecq have risen on speculation that it could be the target of a takeover by France's Pernod Ricard.

Reports in the Wall Street Journal and the Financial Times suggested that the French spirits firm is considering a bid, but has yet to contact its target. Allied Domecq shares in London rose 4% by 1200 GMT, while Pernod shares in Paris slipped 1.2%. Pernod said it was seeking acquisitions but refused to comment on specifics.

Pernod's last major purchase was a third of US giant Seagram in 2000, the move which propelled it into the global top three of drinks firms. The other two-thirds of Seagram was bought by market leader Diageo. In terms of market value, Pernod - at 7.5bn euros ($9.7bn) - is about 9% smaller than Allied Domecq, which has a capitalisation of £5.7bn ($10.7bn; 8.2bn euros). Last year Pernod tried to buy Glenmorangie, one of Scotland's premier whisky firms, but lost out to luxury goods firm LVMH. Pernod is home to brands including Chivas Regal Scotch whisky, Havana Club rum and Jacob's Creek wine. Allied Domecq's big names include Malibu rum, Courvoisier brandy, Stolichnaya vodka and Ballantine's whisky - as well as snack food chains such as Dunkin' Donuts and Baskin-Robbins ice cream. The WSJ said that the two were ripe for consolidation, having each dealt with problematic parts of their portfolio. Pernod has reduced the debt it took on to fund the Seagram purchase to just 1.8bn euros, while Allied has improved the performance of its fast-food chains.
","Pernod has reduced the debt it took on to fund the Seagram purchase to just 1.8bn euros, while Allied has improved the performance of its fast-food chains.Shares in UK drinks and food firm Allied Domecq have risen on speculation that it could be the target of a takeover by France's Pernod Ricard.Pernod said it was seeking acquisitions but refused to comment on specifics.In terms of market value, Pernod - at 7.5bn euros ($9.7bn) - is about 9% smaller than Allied Domecq, which has a capitalisation of £5.7bn ($10.7bn; 8.2bn euros).Allied Domecq shares in London rose 4% by 1200 GMT, while Pernod shares in Paris slipped 1.2%.","Key Points:

1. Allied Domecq shares rose 4% on speculation of a Pernod Ricard takeover [1].
2. Pernod's last major purchase was a third of US giant Seagram in 2000, which propelled it into the global top three [1].
3. Pernod and Allied Domecq have both dealt with problematic parts of their portfolio, making consolidation possible [1].


The shares of UK-based drinks and food firm Allied Domecq rose by 4% on speculation that France's Pernod Ricard is considering a takeover bid [1]. This move comes after reports in the Wall Street Journal and Financial Times suggested that Pernod is seeking acquisitions, but it has yet to contact its target [1]. Pernod's last major purchase was a third of US giant Seagram in 2000, which propelled it into the global top three drinks firms [1]. The French spirits firm has reduced the debt it took on to fund the Seagram purchase to just 1.8bn euros, while Allied Domecq has improved the performance of its fast-food chains [1]. Both companies have problematic parts of their portfolio, making consolidation a possibility [1]. Pernod's brands include Chivas Regal Scotch whisky, Havana Club rum, and Jacob's Creek wine, while Allied Domecq's big names include Malibu rum, Courvoisier brandy, Stolichnaya vodka, and Ballantine's whisky [1].",0.8371119499206543,0.8845153450965881,0.8601610660552979
"Gallery unveils interactive tree

A Christmas tree that can receive text messages has been unveiled at London's Tate Britain art gallery.

The spruce has an antenna which can receive Bluetooth texts sent by visitors to the Tate. The messages will be ""unwrapped"" by sculptor Richard Wentworth, who is responsible for decorating the tree with broken plates and light bulbs. It is the 17th year that the gallery has invited an artist to dress their Christmas tree. Artists who have decorated the Tate tree in previous years include Tracey Emin in 2002.

The plain green Norway spruce is displayed in the gallery's foyer. Its light bulb adornments are dimmed, ordinary domestic ones joined together with string. The plates decorating the branches will be auctioned off for the children's charity ArtWorks. Wentworth worked as an assistant to sculptor Henry Moore in the late 1960s. His reputation as a sculptor grew in the 1980s, while he has been one of the most influential teachers during the last two decades. Wentworth is also known for his photography of mundane, everyday subjects such as a cigarette packet jammed under the wonky leg of a table.
","The messages will be ""unwrapped"" by sculptor Richard Wentworth, who is responsible for decorating the tree with broken plates and light bulbs.A Christmas tree that can receive text messages has been unveiled at London's Tate Britain art gallery.It is the 17th year that the gallery has invited an artist to dress their Christmas tree.The spruce has an antenna which can receive Bluetooth texts sent by visitors to the Tate.His reputation as a sculptor grew in the 1980s, while he has been one of the most influential teachers during the last two decades.","Key Points:

1. A Christmas tree at London's Tate Britain art gallery can receive text messages via Bluetooth, which will be ""unwrapped"" by sculptor Richard Wentworth [1].
2. The tree is decorated with broken plates and light bulbs, and the plates will be auctioned off for the children's charity ArtWorks.
3. Sculptor Richard Wentworth has a reputation as one of the most influential teachers in the last two decades.


The Tate Britain art gallery has unveiled an interactive Christmas tree that can receive text messages via Bluetooth [1]. The tree, decorated with broken plates and light bulbs by sculptor Richard Wentworth, is displayed in the gallery's foyer. Visitors can send texts to the tree using Bluetooth, which will be ""unwrapped"" by Wentworth himself [1]. This is the 17th year that the gallery has invited an artist to dress their Christmas tree, with previous artists including Tracey Emin in 2002. The plates decorating the branches of the tree will be auctioned off for the children's charity ArtWorks. Sculptor Richard Wentworth, responsible for decorating the tree, has a reputation as one of the most influential teachers in the last two decades [1].",0.8697211146354675,0.9064950942993164,0.8877273797988892
"Jarre joins fairytale celebration

French musician Jean-Michel Jarre is to perform at a concert in Copenhagen to mark the bicentennial of the birth of writer Hans Christian Andersen.

Denmark is holding a three-day celebration of the life of the fairy-tale author, with a concert at Parken stadium on 2 April. Other stars are expected to join the line-up in the coming months, and the Danish royal family will attend. ""Christian Andersen's fairy tales are timeless and universal,"" said Jarre. ""For all of us, at any age there is always - beyond the pure enjoyment of the tale - a message to learn."" There are year-long celebrations planned across the world to celebrate Andersen and his work, which includes The Emperor's New Clothes and The Little Mermaid. Denmark's Crown Prince Frederik and Crown Princess Mary visited New York on Monday to help promote the festivities. The pair were at a Manhattan library to honour US literary critic Harold Bloom ""the international icon we thought we knew so well"".

""Bloom recognizes the darker aspects of Andersen's authorship,"" Prince Frederik said. Bloom is to be formally presented with the Hans Christian Andersen Award this spring in Anderson's hometown of Odense. The royal couple also visited the Hans Christian Anderson School complex, where Queen Mary read The Ugly Duckling to the young audience. Later at a gala dinner, Danish supermodel Helena Christensen was named a Hans Christian Andersen ambassador. Other ambassadors include actors Harvey Keitel and Sir Roger Moore, athlete Cathy Freeman and Brazilian soccer legend Pele.
","Bloom is to be formally presented with the Hans Christian Andersen Award this spring in Anderson's hometown of Odense.Later at a gala dinner, Danish supermodel Helena Christensen was named a Hans Christian Andersen ambassador.French musician Jean-Michel Jarre is to perform at a concert in Copenhagen to mark the bicentennial of the birth of writer Hans Christian Andersen.""Christian Andersen's fairy tales are timeless and universal,"" said Jarre.The royal couple also visited the Hans Christian Anderson School complex, where Queen Mary read The Ugly Duckling to the young audience.""Bloom recognizes the darker aspects of Andersen's authorship,"" Prince Frederik said.","Key Points:

1. Jean-Michel Jarre to perform at a concert in Copenhagen to mark Hans Christian Andersen's bicentennial [1].
2. Denmark is holding year-long celebrations across the world to celebrate Andersen's work, including The Emperor's New Clothes and The Little Mermaid.
3. Crown Prince Frederik and Crown Princess Mary visited New York to promote the festivities and honor US literary critic Harold Bloom.


Jean-Michel Jarre will perform at a concert in Copenhagen on April 2nd to mark the bicentennial of Hans Christian Andersen's birth [1]. This event is part of Denmark's three-day celebration, which includes a concert at Parken stadium. The Danish royal family will attend the event, and other stars are expected to join the line-up in the coming months. As Jarre stated, ""Christian Andersen's fairy tales are timeless and universal,"" with a message to learn beyond pure enjoyment [1]. Year-long celebrations are planned across the world to celebrate Andersen's work, including The Emperor's New Clothes and The Little Mermaid. Crown Prince Frederik and Crown Princess Mary visited New York on Monday to promote the festivities and honor US literary critic Harold Bloom, who will be formally presented with the Hans Christian Andersen Award this spring in Odense [1].",0.8474065065383911,0.8816105127334595,0.8641701936721802
"Musical treatment for Capra film

The classic film It's A Wonderful Life is to be turned into a musical by the producer of the controversial hit show Jerry Springer - The Opera.

Frank Capra's 1946 movie starring James Stewart, is being turned into a £7m musical by producer Jon Thoday. He is working with Steve Brown, who wrote the award-winning musical Spend Spend Spend. A spokeswoman said the plans were in the ""very early stages"", with no cast, opening date or theatre announced.

A series of workshops have been held in London, and on Wednesday a cast of singers unveiled the musical to a select group of potential investors. Mr Thoday said the idea of turning the film into a musical had been an ambition of his for almost 20 years. It's a Wonderful Life was based on a short story, The Greatest Gift, by Philip van Doren Stern. Mr Thoday managed to buy the rights to the story from Van Doren Stern's family in 1999, following Mr Brown's success with Spend Spend Spend. He later secured the film rights from Paramount, enabling them to use the title It's A Wonderful Life.
","The classic film It's A Wonderful Life is to be turned into a musical by the producer of the controversial hit show Jerry Springer - The Opera.Mr Thoday said the idea of turning the film into a musical had been an ambition of his for almost 20 years.Mr Thoday managed to buy the rights to the story from Van Doren Stern's family in 1999, following Mr Brown's success with Spend Spend Spend.He is working with Steve Brown, who wrote the award-winning musical Spend Spend Spend.","Key Points:

1. Frank Capra's 1946 film It's A Wonderful Life is being turned into a £7m musical by producer Jon Thoday [1].
2. The musical will be written in collaboration with Steve Brown, who wrote the award-winning musical Spend Spend Spend [1].
3. The idea of turning the film into a musical has been an ambition of Jon Thoday's for almost 20 years [1].


The classic film It's A Wonderful Life is being adapted into a £7m musical by producer Jon Thoday, who has managed to secure the rights to the story and film from the Van Doren Stern family and Paramount respectively [1]. The musical will be written in collaboration with Steve Brown, who wrote the award-winning musical Spend Spend Spend [1]. According to Thoday, the idea of turning the film into a musical had been an ambition of his for almost 20 years [1], and workshops have already been held in London to develop the project.",0.8737140893936157,0.9065637588500977,0.8898358941078186
"Richard and Judy choose top books

The 10 authors shortlisted for a Richard and Judy book award in 2005 are hoping for a boost in sales following the success of this year's winner.

The TV couple's interest in the book world coined the term ""the Richard & Judy effect"" and created the top two best-selling paperbacks of 2004 so far. The finalists for 2005 include Andrew Taylor's The American Boy and Robbie Williams' autobiography Feel. This year's winner, Alice Sebold's The Lovely Bones, sold over one million. Joseph O'Connor's Star of the Sea came second and saw sales increase by 350%. The best read award, on Richard Madeley and Judy Finnigan's Channel 4 show, is part of the British Book Awards. David Mitchell's Booker-shortlisted novel, Cloud Atlas, makes it into this year's top 10 along with several lesser known works.

""There's no doubt that this year's selection of book club entries is the best yet. If anything, the choice is even wider than last time,"" said Madeley. ""It was very hard to follow last year's extremely successful list, but we think this year's books will do even better,"" said Richard and Judy executive producer Amanda Ross. ""We were spoiled for choice and it was tough getting down to only 10 from the 301 submitted.""
","""It was very hard to follow last year's extremely successful list, but we think this year's books will do even better,"" said Richard and Judy executive producer Amanda Ross.The 10 authors shortlisted for a Richard and Judy book award in 2005 are hoping for a boost in sales following the success of this year's winner.The best read award, on Richard Madeley and Judy Finnigan's Channel 4 show, is part of the British Book Awards.""There's no doubt that this year's selection of book club entries is the best yet.The TV couple's interest in the book world coined the term ""the Richard & Judy effect"" and created the top two best-selling paperbacks of 2004 so far.","Key Points:

1. Richard and Judy's book club selection for 2005 includes authors such as Andrew Taylor, Robbie Williams, and David Mitchell [1].
2. The TV couple's interest in books has created a phenomenon known as ""the Richard & Judy effect"" [1].
3. The best read award on their Channel 4 show is part of the British Book Awards [1].


Richard and Judy's book club selection for 2005 features an impressive lineup, including Andrew Taylor's The American Boy and Robbie Williams' autobiography Feel. This year's winner, Alice Sebold's The Lovely Bones, sold over one million copies, with Joseph O'Connor's Star of the Sea coming in second and seeing sales increase by 350%. David Mitchell's Booker-shortlisted novel, Cloud Atlas, is also among the top 10 selections. According to Richard Madeley, ""there's no doubt that this year's selection of book club entries is the best yet"" [1]. The TV couple's interest in books has created a phenomenon known as ""the Richard & Judy effect,"" which has contributed to the success of their book club selections [1]. With 301 submissions to choose from, it was a challenging task for Richard and Judy executive producer Amanda Ross to narrow down the list to just 10 authors [1].",0.847070038318634,0.8938627243041992,0.8698375821113586
"Poppins musical gets flying start

The stage adaptation of children's film Mary Poppins has had its opening night in London's West End.

Sir Cameron Mackintosh's lavish production, which has cost £9m to bring to the stage, was given a 10-minute standing ovation. Lead actress Laura Michelle Kelly soared over the heads of the audience holding the nanny's trademark umbrella. Technical hitches had prevented Mary Poppins' flight into the auditorium during preview performances. A number of celebrities turned out for the musical's premiere, including actress Barbara Windsor, comic Graham Norton and Sir Richard Attenborough.

The show's director Richard Eyre issued a warning earlier in the week that the show was unsuitable for children under seven, while under-threes are barred. Mary Poppins was originally created by author Pamela Travers, who is said to have cried when she saw Disney's 1964 film starring Julie Andrews. Travers had intended the story to be a lot darker than the perennial family favourite. Theatre impresario Sir Cameron Mackintosh has said he hopes the musical is a blend of the sweet-natured film and the original book.
","Mary Poppins was originally created by author Pamela Travers, who is said to have cried when she saw Disney's 1964 film starring Julie Andrews.The stage adaptation of children's film Mary Poppins has had its opening night in London's West End.Sir Cameron Mackintosh's lavish production, which has cost £9m to bring to the stage, was given a 10-minute standing ovation.Theatre impresario Sir Cameron Mackintosh has said he hopes the musical is a blend of the sweet-natured film and the original book.","Key Points:

1. Mary Poppins musical had its opening night in London's West End, receiving a 10-minute standing ovation [1].
2. Lead actress Laura Michelle Kelly performed a notable scene with her umbrella, while technical hitches were resolved for the premiere [1].
3. The show's director warned that it is unsuitable for children under seven and under-threes are barred from attending [1].


The stage adaptation of Mary Poppins had its opening night in London's West End, marking a significant milestone for Sir Cameron Mackintosh's production. The £9m investment paid off as the audience gave the musical a 10-minute standing ovation [1]. Lead actress Laura Michelle Kelly's performance was particularly notable, soaring above the audience with her umbrella, an iconic symbol of the nanny's character [1]. However, technical issues had plagued preview performances, but were resolved for the premiere. The show's director, Richard Eyre, issued a warning that the musical is not suitable for children under seven and those under three are barred from attending [1]. This production aims to strike a balance between the sweet-natured Disney film and the original book by Pamela Travers, who had intended the story to be darker than the beloved family classic.",0.8402933478355408,0.893924355506897,0.866279661655426
